4.07,29,0,-5,8,0,0,3,97,4,31,3,3,3,2,266
4.07,29,0,-5,8,-1,-7,3,97,5,32,3,3,3,2,266
4.07,29,0,-7,6,4,4,9,42,5,46,3,3,3,2,266
4.07,29,0,-7,7,-11,13,-8,40,6,47,3,3,3,2,267
4.07,29,1,-6,6,0,1,-2,49,7,45,3,3,3,2,267
4.07,29,1,-7,6,2,-14,14,36,9,47,2,3,3,2,267
4.07,29,0,-8,7,-6,25,-20,356,6,50,3,3,3,2,267
4.07,29,1,-6,5,-10,33,-14,357,7,48,3,3,3,2,267
4.07,29,0,-7,4,-2,0,13,354,1,49,3,3,3,2,267
4.07,29,0,-6,5,-20,30,-17,12,4,52,3,3,3,2,267
4.07,29,1,-7,4,3,-28,29,6,0,53,3,3,3,2,267
4.07,29,-1,-11,9,24,18,-13,14,2,53,3,3,3,2,267
4.07,29,0,-4,3,-26,12,-9,31,1,54,3,3,3,2,267
4.07,29,0,-12,6,-6,21,0,42,2,60,3,3,3,2,267
4.07,29,1,-5,2,2,-25,26,41,6,59,3,3,3,2,267
4.07,29,0,-11,4,0,4,7,38,4,56,3,3,3,2,268
4.07,29,1,-11,5,-12,33,0,33,2,59,3,3,3,2,268
4.07,29,0,-11,-1,-19,-36,0,45,6,60,3,3,3,2,268
4.07,29,0,-6,2,-1,6,-16,49,3,56,3,3,3,2,268
4.07,29,0,-7,3,-21,22,0,41,-2,62,3,3,3,2,268
4.07,29,0,-7,1,4,0,-8,41,1,66,3,3,3,2,268
4.07,29,-2,-6,-4,59,107,-4,86,-9,115,3,3,3,3,268
4.07,29,0,-9,-1,-8,-21,-12,110,2,90,3,3,3,3,268
4.07,29,7,-6,4,-5,-81,-69,137,59,14,3,3,3,3,268
4.07,29,9,0,-1,1,1,3,176,84,-5,2,3,3,3,268
4.07,29,9,1,0,-10,0,2,197,78,-86,3,3,3,3,268
4.07,29,9,1,0,-11,-1,-5,201,81,-87,3,3,3,3,268
4.07,29,9,1,0,1,2,0,201,81,-81,3,3,3,3,269
4.07,29,9,0,0,2,3,-1,195,85,-4,3,3,3,2,269
4.07,29,9,1,0,-2,-1,0,198,82,-81,3,3,3,2,269
4.07,29,9,1,0,0,0,0,199,81,-83,3,3,3,2,269
4.07,29,9,2,1,4,3,0,208,75,-78,2,3,3,3,269
4.07,29,0,-1,10,44,15,-76,307,0,10,2,3,3,3,269
4.07,29,0,-1,7,7,1,23,337,2,6,2,3,3,3,269
4.07,29,-1,0,9,14,9,8,128,-7,-3,3,3,3,3,269
4.06,29,-3,0,10,9,-2,10,228,-3,6,3,3,3,3,269
4.07,29,-2,0,8,1,7,70,11,-3,-11,0,3,3,3,269
4.07,29,-3,-2,9,7,-12,55,93,-3,1,2,3,3,3,269
4.07,29,-2,1,9,-2,9,22,278,-8,-9,2,3,3,3,269
4.07,29,0,-1,10,13,0,4,1,-3,-2,0,3,3,3,270
4.07,29,-2,-1,11,-11,0,56,52,-3,-8,2,3,3,3,270
4.07,29,0,3,11,6,1,44,18,-20,-17,3,3,3,3,270
4.07,29,-1,0,9,-25,-5,44,199,-10,0,2,3,3,3,270
4.07,29,-1,0,8,-14,-4,83,176,-2,-21,3,3,3,3,270
4.07,29,-2,0,10,-1,8,42,272,-15,0,1,3,3,3,270
4.07,29,-2,0,9,14,1,39,86,-27,-4,2,3,3,3,270
4.07,29,0,0,9,15,16,-57,100,-6,12,0,3,3,3,270
4.07,29,-1,-1,9,2,-13,5,149,11,4,3,3,3,3,270
4.07,29,0,0,10,12,-4,-8,182,-4,2,3,3,3,3,270
4.06,29,0,0,10,-3,19,46,53,-15,-7,0,3,3,3,270
